stencil computation, n=3000, m=12000, r=4, c=6, i=10, time=0.323104
stencil computation, n=3000, m=12000, r=4, c=8, i=10, time=0.229094
stencil computation, n=3000, m=12000, r=6, c=2, i=10, time=0.478159
stencil computation, n=3000, m=12000, r=6, c=4, i=10, time=0.278778
stencil computation, n=3000, m=12000, r=6, c=6, i=10, time=0.235447
stencil computation, n=3000, m=12000, r=6, c=8, i=10, time=0.180870
stencil computation, n=3000, m=12000, r=8, c=2, i=10, time=0.323542
stencil computation, n=3000, m=12000, r=8, c=4, i=10, time=0.228655
stencil computation, n=3000, m=12000, r=8, c=6, i=10, time=0.224939
stencil computation, n=3000, m=12000, r=8, c=8, i=10, time=0.132034
stencil computation, n=12000, m=3000, r=1, c=1, i=10, time=4.597627
stencil computation, n=12000, m=3000, r=2, c=1, i=10, time=1.939681
stencil computation, n=12000, m=3000, r=4, c=1, i=10, time=0.925774
stencil computation, n=12000, m=3000, r=6, c=1, i=10, time=0.781387
stencil computation, n=12000, m=3000, r=8, c=1, i=10, time=0.486361
stencil computation, n=12000, m=3000, r=10, c=1, i=10, time=0.696855
stencil computation, n=12000, m=3000, r=12, c=1, i=10, time=0.462104
stencil computation, n=12000, m=3000, r=14, c=1, i=10, FAIL
stencil computation, n=12000, m=3000, r=16, c=1, i=10, time=0.274031
