stencil computation, n=6000, m=6000, r=2, c=4, i=10, time=0.542371
stencil computation, n=6000, m=6000, r=2, c=6, i=10, time=0.430164
stencil computation, n=6000, m=6000, r=2, c=8, i=10, time=0.917678
stencil computation, n=6000, m=6000, r=4, c=2, i=10, time=0.535785
stencil computation, n=6000, m=6000, r=4, c=4, i=10, time=0.316539
stencil computation, n=6000, m=6000, r=4, c=6, i=10, time=0.321006
stencil computation, n=6000, m=6000, r=4, c=8, i=10, time=0.438620
stencil computation, n=6000, m=6000, r=6, c=2, i=10, time=0.463108
stencil computation, n=6000, m=6000, r=6, c=4, i=10, time=0.361640
stencil computation, n=6000, m=6000, r=6, c=6, i=10, time=0.274267
stencil computation, n=6000, m=6000, r=6, c=8, i=10, time=0.175126
stencil computation, n=6000, m=6000, r=8, c=2, i=10, time=0.499717
stencil computation, n=6000, m=6000, r=8, c=4, i=10, time=0.365016
stencil computation, n=6000, m=6000, r=8, c=6, i=10, time=0.265898
stencil computation, n=6000, m=6000, r=8, c=8, i=10, time=0.261297
